Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,NameKey,PosList
Josh Richardson,3.6,8.2,1.5,1.7,1.6,2.8,1.8,0.9,0.4,1.0,10.2,24.6,65.0,SG,,josh richardson,['SG']
Josh Richardson,3.5,7.8,1.4,1.6,1.4,2.8,1.5,0.8,0.5,0.9,9.7,24.7,44.0,SG,,josh richardson,['SG']
Josh Richardson,3.9,9.1,1.7,1.8,1.9,2.9,2.3,1.0,0.3,1.3,11.4,24.4,21.0,SG,,josh richardson,['SG']
Al Horford,3.9,8.2,1.2,1.4,1.3,7.7,3.4,0.7,1.3,0.9,10.2,29.1,69.0,C,,al horford,['C']
Ben McLemore,3.4,8.4,1.1,1.4,2.4,1.6,0.9,0.6,0.2,0.9,10.2,20.1,64.0,SG,,ben mclemore,['SG']
Cam Reddish,3.4,8.3,2.1,2.3,1.3,2.1,1.0,1.0,0.3,1.2,10.1,20.7,49.0,SF,,cam reddish,['SF']
Cam Reddish,4.1,10.1,2.1,2.4,1.7,2.5,1.1,1.0,0.3,1.3,11.9,23.4,34.0,SF,,cam reddish,['SF']
Cam Reddish,1.8,4.3,1.9,2.1,0.5,1.4,0.7,0.8,0.3,0.9,6.1,14.3,15.0,SF,,cam reddish,['SF']
Justin Holiday,3.5,8.9,0.7,0.8,2.4,2.6,1.7,0.8,0.4,0.9,10.1,27.8,74.0,SF,,justin holiday,['SF']
Justin Holiday,3.9,9.3,0.7,0.8,2.6,2.8,1.8,0.7,0.4,1.0,11.0,28.9,49.0,SF,,justin holiday,['SF']
Justin Holiday,2.8,8.2,0.6,0.8,2.0,2.2,1.5,0.8,0.6,0.8,8.3,25.6,25.0,SG,,justin holiday,['SG']
Bones Hyland,3.3,8.3,1.6,1.8,1.9,2.7,2.8,0.6,0.3,1.2,10.1,19.0,69.0,SG,,bones hyland,['SG']
Isaiah Roby,3.7,7.2,1.7,2.6,1.0,4.8,1.6,0.8,0.8,1.0,10.1,21.1,45.0,PF,,isaiah roby,['PF']
Devin Cannady,3.0,8.8,1.0,1.4,3.0,1.2,2.0,1.0,0.6,1.0,10.0,29.0,5.0,PG,,devin cannady,['PG']
Talen Horton-Tucker,3.7,9.0,1.7,2.1,0.8,3.2,2.7,1.0,0.5,1.4,10.0,25.2,60.0,SG,,talen horton tucker,['SG']
Garrison Mathews,2.8,7.1,2.2,2.8,2.1,2.9,1.0,0.9,0.4,0.6,10.0,26.3,65.0,SG,,garrison mathews,['SG']
Terrence Ross,3.5,8.8,1.8,2.1,1.2,2.6,1.8,0.4,0.2,1.2,10.0,23.0,63.0,SG,,terrence ross,['SG']
Robert Williams,4.4,6.0,1.1,1.5,0.0,9.6,2.0,0.9,2.2,1.0,10.0,29.6,61.0,C,,robert williams,['C']
Eric Bledsoe,3.6,8.7,1.6,2.2,0.9,3.4,4.2,1.3,0.4,2.1,9.9,25.2,54.0,PG,,eric bledsoe,['PG']
Pat Connaughton,3.5,7.6,0.7,0.8,2.2,4.2,1.3,0.9,0.2,0.5,9.9,26.0,65.0,SF,,pat connaughton,['SF']
Michael Porter Jr.,4.1,11.4,0.6,1.0,1.1,6.6,1.9,1.1,0.2,1.3,9.9,29.4,9.0,SF,,michael porter jr,['SF']
Duane Washington Jr.,3.6,8.9,1.0,1.3,1.7,1.7,1.8,0.5,0.1,1.2,9.9,20.2,48.0,PG,,duane washington jr,['PG']
Nassir Little,3.5,7.5,1.6,2.2,1.2,5.6,1.3,0.6,0.9,1.0,9.8,25.9,42.0,SF,,nassir little,['SF']
Alperen Şengün,3.5,7.3,2.3,3.2,0.4,5.5,2.6,0.8,0.9,2.0,9.6,20.7,72.0,C,,alperen sengun,['C']
Terry Taylor,4.1,6.7,1.1,1.5,0.4,5.2,1.2,0.4,0.2,0.7,9.6,21.6,33.0,PF,,terry taylor,['PF']
Herbert Jones,3.5,7.4,1.8,2.1,0.7,3.8,2.1,1.7,0.8,1.3,9.5,29.9,78.0,PF,,herbert jones,['PF']
Chris Boucher,3.4,7.2,1.9,2.4,0.9,6.2,0.3,0.6,0.9,0.5,9.4,21.1,80.0,SF,,chris boucher,['SF']
Jae Crowder,3.2,8.1,1.1,1.3,1.9,5.3,1.9,1.4,0.4,0.8,9.4,28.1,67.0,PF,,jae crowder,['PF']
Daniel Gafford,4.0,5.7,1.5,2.1,0.0,5.7,0.9,0.4,1.4,0.9,9.4,20.1,72.0,C,,daniel gafford,['C']
Jaxson Hayes,3.5,5.7,2.1,2.7,0.3,4.5,0.6,0.5,0.8,0.8,9.3,20.0,70.0,C,,jaxson hayes,['C']
Jonathan Kuminga,3.4,6.6,1.9,2.7,0.7,3.3,0.9,0.4,0.3,1.1,9.3,16.9,70.0,SF,,jonathan kuminga,['SF']
Jalen Smith,3.5,6.9,1.5,2.0,0.8,6.0,0.5,0.3,0.8,0.8,9.2,18.1,51.0,PF,,jalen smith,['PF']
Jalen Smith,2.2,4.7,1.4,1.8,0.3,4.8,0.2,0.2,0.6,0.8,6.0,13.2,29.0,PF,,jalen smith,['PF']
Jalen Smith,5.1,9.7,1.7,2.3,1.4,7.6,0.8,0.4,1.0,0.9,13.4,24.7,22.0,PF,,jalen smith,['PF']
Reggie Perry,4.0,7.9,0.9,1.5,0.3,4.7,1.2,0.9,0.6,1.1,9.2,18.7,10.0,PF,,reggie perry,['PF']
Reggie Perry,4.3,8.7,1.0,1.7,0.3,5.1,1.3,1.0,0.7,1.2,10.0,19.7,9.0,PF,,reggie perry,['PF']
Reggie Perry,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,PF,,reggie perry,['PF']
Patrick Beverley,3.1,7.5,1.7,2.3,1.4,4.1,4.6,1.2,0.9,1.3,9.2,25.4,58.0,PG,,patrick beverley,['PG']
Caleb Martin,3.5,6.8,1.2,1.6,1.1,3.8,1.1,1.0,0.5,0.9,9.2,22.9,60.0,SF,,caleb martin,['SF']
Jaden McDaniels,3.6,7.9,0.8,1.0,1.1,4.2,1.1,0.7,0.8,1.1,9.2,25.8,70.0,PF,,jaden mcdaniels,['PF']
JaVale McGee,3.9,6.2,1.4,2.0,0.0,6.7,0.6,0.3,1.1,1.3,9.2,15.8,74.0,C,,javale mcgee,['C']
Georges Niang,3.2,7.4,0.7,0.8,2.1,2.7,1.3,0.4,0.2,0.8,9.2,22.8,76.0,PF,,georges niang,['PF']
Precious Achiuwa,3.6,8.3,1.1,1.8,0.8,6.5,1.1,0.5,0.6,1.2,9.1,23.6,73.0,C,,precious achiuwa,['C']
Oshae Brissett,3.1,7.6,1.7,2.4,1.2,5.3,1.1,0.7,0.4,0.8,9.1,23.3,67.0,SF,,oshae brissett,['SF']
Willy Hernangómez,3.4,6.5,2.2,2.8,0.1,6.8,1.3,0.4,0.4,1.0,9.1,16.8,50.0,C,,willy hernangomez,['C']
Kelly Olynyk,3.2,7.2,1.7,2.2,1.0,4.4,2.8,0.8,0.5,1.5,9.1,19.1,40.0,C,,kelly olynyk,['C']
Donte DiVincenzo,2.8,8.0,1.7,2.0,1.8,4.0,2.8,1.1,0.2,1.7,9.0,24.0,42.0,SG,,donte divincenzo,['SG']
Donte DiVincenzo,2.3,6.9,1.4,1.6,1.2,3.5,1.7,0.6,0.2,1.6,7.2,20.1,17.0,SG,,donte divincenzo,['SG']
Donte DiVincenzo,3.2,8.7,1.9,2.2,2.1,4.4,3.6,1.5,0.2,1.8,10.3,26.6,25.0,SG,,donte divincenzo,['SG']
DeMarcus Cousins,3.1,6.8,2.0,2.6,0.8,5.6,1.5,0.7,0.4,1.8,9.0,15.0,48.0,C,,demarcus cousins,['C']
DeMarcus Cousins,3.2,6.9,1.8,2.2,0.8,5.8,1.1,0.9,0.5,0.9,9.1,16.9,17.0,C,,demarcus cousins,['C']
DeMarcus Cousins,3.0,6.6,2.1,2.8,0.8,5.5,1.7,0.6,0.4,2.2,8.9,13.9,31.0,C,,demarcus cousins,['C']
Bruce Brown,3.6,7.0,1.3,1.8,0.5,4.8,2.1,1.1,0.7,0.8,9.0,24.6,72.0,SF,,bruce brown,['SF']
Amir Coffey,3.1,6.8,1.5,1.7,1.4,2.9,1.8,0.6,0.2,0.7,9.0,22.7,69.0,SG,,amir coffey,['SG']
Obi Toppin,3.5,6.6,1.3,1.7,0.7,3.7,1.1,0.3,0.5,0.8,9.0,17.1,72.0,PF,,obi toppin,['PF']
Moritz Wagner,3.1,6.3,1.7,2.0,1.0,3.7,1.4,0.3,0.2,0.9,9.0,15.2,63.0,C,,moritz wagner,['C']
Patrick Williams,3.2,6.0,1.8,2.4,0.9,4.1,0.9,0.5,0.5,0.9,9.0,24.8,17.0,PF,,patrick williams,['PF']
Chimezie Metu,3.4,7.5,1.2,1.5,1.0,5.6,1.0,0.9,0.5,1.0,8.9,21.3,60.0,C,,chimezie metu,['C']
Bryn Forbes,3.1,7.2,1.1,1.2,1.6,1.2,1.0,0.3,0.1,0.7,8.8,17.1,75.0,SG,,bryn forbes,['SG']
Bryn Forbes,3.2,7.4,1.1,1.2,1.6,1.6,1.0,0.4,0.1,0.8,9.1,16.9,40.0,SG,,bryn forbes,['SG']
Bryn Forbes,2.9,6.9,1.0,1.1,1.7,0.9,1.0,0.2,0.1,0.7,8.6,17.4,35.0,SG,,bryn forbes,['SG']
Ayo Dosunmu,3.6,6.9,0.7,1.0,0.9,2.8,3.3,0.8,0.4,1.4,8.8,27.4,77.0,SG,,ayo dosunmu,['SG']
KJ Martin,3.5,6.6,1.0,1.6,0.8,3.8,1.3,0.4,0.5,0.8,8.8,21.0,79.0,SF,,kj martin,['SF']
Isaac Okoro,3.1,6.4,1.8,2.3,0.8,3.0,1.8,0.8,0.3,0.9,8.8,29.6,67.0,SF,,isaac okoro,['SF']
Nic Claxton,3.8,5.6,1.1,2.0,0.0,5.6,0.9,0.5,1.1,0.8,8.7,20.7,47.0,C,,nic claxton,['C']
Tyus Jones,3.4,7.6,0.7,0.9,1.1,2.4,4.4,0.9,0.0,0.6,8.7,21.2,73.0,PG,,tyus jones,['PG']
Dwight Powell,3.3,4.9,2.0,2.6,0.2,4.9,1.2,0.5,0.5,0.8,8.7,21.9,82.0,C,,dwight powell,['C']
Gabe Vincent,3.1,7.5,0.6,0.8,1.8,1.9,3.1,0.9,0.2,1.4,8.7,23.4,68.0,PG,,gabe vincent,['PG']
Reggie Bullock,3.0,7.4,0.6,0.7,2.1,3.5,1.2,0.6,0.2,0.6,8.6,28.0,68.0,SF,,reggie bullock,['SF']
Chuma Okeke,3.1,8.2,0.8,0.9,1.7,5.0,1.7,1.4,0.6,0.8,8.6,25.0,70.0,PF,,chuma okeke,['PF']
Robert Covington,2.9,7.0,0.8,1.0,1.8,5.5,1.3,1.5,1.3,1.1,8.5,27.3,71.0,PF,,robert covington,['PF']
Robert Covington,2.7,7.0,0.6,0.8,1.6,5.7,1.4,1.5,1.3,1.2,7.6,29.8,48.0,PF,,robert covington,['PF']
Robert Covington,3.5,7.0,1.2,1.4,2.1,5.1,1.0,1.3,1.2,0.7,10.4,22.1,23.0,PF,,robert covington,['PF']
T.J. McConnell,3.7,7.7,0.7,0.9,0.4,3.3,4.9,1.1,0.4,1.1,8.5,24.1,27.0,PG,,t j mcconnell,['PG']
Jaylen Nowell,3.2,6.7,1.2,1.5,1.0,2.0,2.1,0.4,0.2,0.6,8.5,15.7,62.0,SG,,jaylen nowell,['SG']
Mitchell Robinson,3.6,4.8,1.2,2.5,0.0,8.6,0.5,0.8,1.8,0.8,8.5,25.7,72.0,C,,mitchell robinson,['C']
Cam Thomas,3.3,7.5,1.3,1.6,0.7,2.4,1.2,0.5,0.1,0.8,8.5,17.6,67.0,SG,,cam thomas,['SG']
Isaiah Thomas,3.0,7.6,1.0,1.2,1.3,1.3,1.5,0.3,0.2,0.7,8.4,15.1,22.0,PG,,isaiah thomas,['PG']
Isaiah Thomas,3.0,9.8,2.0,2.8,1.3,2.0,1.5,0.0,0.5,1.3,9.3,25.3,4.0,PG,,isaiah thomas,['PG']
Isaiah Thomas,3.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,13.0,1.0,PG,,isaiah thomas,['PG']
Isaiah Thomas,3.1,7.1,0.8,0.9,1.4,1.2,1.4,0.4,0.2,0.6,8.3,12.9,17.0,PG,,isaiah thomas,['PG']
Deni Avdija,3.0,7.1,1.3,1.7,1.0,5.2,2.0,0.7,0.5,1.1,8.4,24.2,82.0,SF,,deni avdija,['SF']
Lance Stephenson,3.2,7.0,1.4,1.7,0.6,2.8,3.6,0.5,0.1,1.6,8.3,17.7,46.0,SG,,lance stephenson,['SG']
Lance Stephenson,0.8,2.2,0.2,0.3,0.0,2.5,1.8,0.0,0.0,0.7,1.8,11.7,6.0,SG,,lance stephenson,['SG']
Lance Stephenson,3.6,7.8,1.6,2.0,0.7,2.8,3.9,0.6,0.1,1.7,9.3,18.6,40.0,PG,,lance stephenson,['PG']
Nicolas Batum,3.0,6.6,0.4,0.6,1.8,4.3,1.7,1.0,0.7,0.7,8.3,24.8,59.0,PF,,nicolas batum,['PF']
Isaiah Hartenstein,3.4,5.4,1.3,1.9,0.2,4.9,2.4,0.7,1.1,1.2,8.3,17.9,68.0,C,,isaiah hartenstein,['C']
Isaiah Jackson,3.2,5.7,1.7,2.4,0.1,4.1,0.3,0.7,1.4,1.1,8.3,15.0,36.0,C,,isaiah jackson,['C']
Naz Reid,3.0,6.2,1.5,1.9,0.7,3.9,0.9,0.5,0.9,1.1,8.3,15.8,77.0,C,,naz reid,['C']
Landry Shamet,2.8,7.0,1.0,1.2,1.8,1.8,1.6,0.4,0.1,0.6,8.3,20.8,69.0,SG,,landry shamet,['SG']
Isaiah Stewart,3.5,6.9,1.0,1.5,0.2,8.7,1.2,0.3,1.1,1.2,8.3,25.6,71.0,C,,isaiah stewart,['C']
Aaron Wiggins,3.1,6.7,1.2,1.7,0.8,3.6,1.4,0.6,0.2,1.1,8.3,24.2,50.0,SG,,aaron wiggins,['SG']
Daniel Theis,3.2,6.2,1.0,1.5,0.7,4.9,0.9,0.4,0.7,1.0,8.2,20.8,47.0,C,,daniel theis,['C']
Daniel Theis,3.2,6.9,1.0,1.5,0.9,5.0,0.8,0.4,0.7,1.2,8.4,22.5,26.0,C,,daniel theis,['C']
Daniel Theis,3.2,5.3,1.0,1.5,0.5,4.7,1.0,0.4,0.7,0.7,7.9,18.7,21.0,C,,daniel theis,['C']
Corey Kispert,3.0,6.7,0.7,0.8,1.5,2.7,1.1,0.5,0.3,0.6,8.2,23.4,77.0,SF,,corey kispert,['SF']
Shake Milton,3.1,7.3,1.1,1.3,0.8,2.6,2.5,0.5,0.3,0.8,8.2,21.4,55.0,SG,,shake milton,['SG']
Onyeka Okongwu,3.3,4.7,1.7,2.3,0.0,5.9,1.1,0.6,1.3,0.9,8.2,20.7,48.0,C,,onyeka okongwu,['C']
Otto Porter Jr.,3.1,6.6,0.8,1.0,1.3,5.7,1.5,1.1,0.5,0.6,8.2,22.2,63.0,PF,,otto porter jr,['PF']
Hassan Whiteside,3.3,5.1,1.6,2.6,0.0,7.6,0.4,0.3,1.6,0.8,8.2,17.9,65.0,C,,hassan whiteside,['C']
Rudy Gay,2.9,6.9,1.1,1.4,1.3,4.4,1.0,0.5,0.3,0.9,8.1,18.9,55.0,PF,,rudy gay,['PF']
Damian Jones,3.1,4.8,1.7,2.3,0.2,4.4,1.2,0.5,0.8,1.1,8.1,18.2,56.0,C,,damian jones,['C']
Ziaire Williams,3.1,6.8,0.7,0.9,1.2,2.1,1.0,0.6,0.2,0.7,8.1,21.7,62.0,SF,,ziaire williams,['SF']
Cory Joseph,2.7,6.2,1.5,1.7,1.0,2.7,3.6,0.6,0.3,1.3,8.0,24.6,65.0,PG,,cory joseph,['PG']
Mike Muscala,2.6,5.8,1.1,1.3,1.6,3.0,0.5,0.4,0.6,0.3,8.0,13.8,43.0,C,,mike muscala,['C']
Malik Newman,3.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,8.0,1.0,PG,,malik newman,['PG']
