Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,NameKey,PosList
Joel Embiid,11.0,20.1,10.0,11.7,1.0,10.2,4.2,1.0,1.7,3.4,33.1,34.6,66.0,C,,joel embiid,['C']
Luka Dončić,10.9,22.0,7.8,10.5,2.8,8.6,8.0,1.4,0.5,3.6,32.4,36.2,66.0,PG,,luka doncic,['PG']
Damian Lillard,9.6,20.7,8.8,9.6,4.2,4.8,7.3,0.9,0.3,3.3,32.2,36.3,58.0,PG,,damian lillard,['PG']
Shai Gilgeous-Alexander,10.4,20.3,9.8,10.9,0.9,4.8,5.5,1.6,1.0,2.8,31.4,35.5,68.0,PG,,shai gilgeous alexander,['PG']
Giannis Antetokounmpo,11.2,20.3,7.9,12.3,0.7,11.8,5.7,0.8,0.8,3.9,31.1,32.1,63.0,PF,,giannis antetokounmpo,['PF']
Jayson Tatum,9.8,21.1,7.2,8.4,3.2,8.8,4.6,1.1,0.7,2.9,30.1,36.9,74.0,SF,,jayson tatum,['SF']
Stephen Curry,10.0,20.2,4.6,5.0,4.9,6.1,6.3,0.9,0.4,3.2,29.4,34.7,56.0,PG,,stephen curry,['PG']
Kevin Durant,10.3,18.3,6.5,7.1,2.0,6.7,5.0,0.7,1.4,3.3,29.1,35.6,47.0,PF,,kevin durant,['PF']
Kevin Durant,10.5,18.8,6.8,7.3,1.8,6.7,5.3,0.8,1.5,3.5,29.7,36.0,39.0,PF,,kevin durant,['PF']
Kevin Durant,9.1,16.0,5.0,6.0,2.8,6.4,3.5,0.3,1.3,2.5,26.0,33.6,8.0,PF,,kevin durant,['PF']
LeBron James,11.1,22.2,4.6,5.9,2.2,8.3,6.8,0.9,0.6,3.2,28.9,35.5,55.0,PF,,lebron james,['PF']
Donovan Mitchell,10.0,20.6,4.7,5.4,3.6,4.3,4.4,1.5,0.4,2.6,28.3,35.8,68.0,SG,,donovan mitchell,['SG']
Devin Booker,9.9,20.1,5.8,6.8,2.1,4.5,5.5,1.0,0.3,2.7,27.8,34.6,53.0,SG,,devin booker,['SG']
Kyrie Irving,9.9,20.1,4.1,4.6,3.1,5.1,5.5,1.1,0.8,2.1,27.1,37.4,60.0,SG,,kyrie irving,['SG']
Kyrie Irving,10.0,20.5,4.0,4.5,3.3,5.1,5.3,1.0,0.8,2.3,27.1,37.0,40.0,PG,,kyrie irving,['PG']
Kyrie Irving,9.8,19.2,4.5,4.7,2.9,5.0,6.0,1.3,0.6,1.9,27.0,38.2,20.0,SG,,kyrie irving,['SG']
Jaylen Brown,10.1,20.6,3.9,5.1,2.4,6.9,3.5,1.1,0.4,2.9,26.6,35.9,67.0,SF,,jaylen brown,['SF']
Ja Morant,9.3,19.9,6.1,8.1,1.5,5.9,8.1,1.1,0.3,3.4,26.2,31.9,61.0,PG,,ja morant,['PG']
Trae Young,8.2,19.0,7.8,8.8,2.1,3.0,10.2,1.1,0.1,4.1,26.2,34.8,73.0,PG,,trae young,['PG']
Zion Williamson,9.8,16.2,6.1,8.6,0.2,7.0,4.6,1.1,0.6,3.4,26.0,33.0,29.0,PF,,zion williamson,['PF']
Anthony Davis,9.7,17.2,6.2,7.9,0.3,12.5,2.6,1.1,2.0,2.2,25.9,34.0,56.0,C,,anthony davis,['C']
Lauri Markkanen,8.7,17.3,5.3,6.0,3.0,8.6,1.9,0.6,0.6,1.9,25.6,34.4,66.0,PF,,lauri markkanen,['PF']
Julius Randle,8.5,18.6,5.2,6.9,2.8,10.0,4.1,0.6,0.3,2.8,25.1,35.5,77.0,PF,,julius randle,['PF']
De'Aaron Fox,9.3,18.2,4.7,6.0,1.6,4.2,6.1,1.1,0.3,2.5,25.0,33.4,73.0,PG,,de aaron fox,['PG']
Zach LaVine,8.7,18.0,4.7,5.6,2.6,4.5,4.2,0.9,0.2,2.5,24.8,35.9,77.0,SG,,zach lavine,['SG']
Brandon Ingram,9.0,18.6,5.3,6.0,1.4,5.5,5.8,0.7,0.4,3.3,24.7,34.2,45.0,SF,,brandon ingram,['SF']
Anthony Edwards,8.9,19.5,4.0,5.3,2.7,5.8,4.4,1.6,0.7,3.3,24.6,36.0,79.0,SG,,anthony edwards,['SG']
DeMar DeRozan,8.9,17.6,6.2,7.1,0.6,4.6,5.1,1.1,0.5,2.1,24.5,36.2,74.0,SF,,demar derozan,['SF']
Nikola Jokić,9.4,14.8,4.9,6.0,0.8,11.8,9.8,1.3,0.7,3.6,24.5,33.7,69.0,C,,nikola jokic,['C']
Pascal Siakam,8.9,18.5,5.2,6.7,1.3,7.8,5.8,0.9,0.5,2.4,24.2,37.4,71.0,PF,,pascal siakam,['PF']
Jalen Brunson,8.6,17.6,4.8,5.8,2.0,3.5,6.2,0.9,0.2,2.1,24.0,35.0,68.0,PG,,jalen brunson,['PG']
Paul George,8.2,17.9,4.6,5.3,2.8,6.1,5.1,1.5,0.4,3.1,23.8,34.6,56.0,SF,,paul george,['SF']
Kawhi Leonard,8.6,16.8,4.7,5.4,2.0,6.5,3.9,1.4,0.5,1.7,23.8,33.6,52.0,SF,,kawhi leonard,['SF']
LaMelo Ball,8.2,20.0,2.8,3.4,4.0,6.4,8.4,1.3,0.3,3.6,23.3,35.2,36.0,PG,,lamelo ball,['PG']
Bradley Beal,8.9,17.6,3.8,4.6,1.6,3.9,5.4,0.9,0.7,2.9,23.2,33.5,50.0,SG,,bradley beal,['SG']
Kristaps Porziņģis,7.8,15.7,5.4,6.4,2.1,8.4,2.7,0.9,1.5,2.1,23.2,32.6,65.0,C,,kristaps porzingis,['C']
Jimmy Butler,7.5,13.9,7.4,8.7,0.6,5.9,5.3,1.8,0.3,1.6,22.9,33.4,64.0,PF,,jimmy butler,['PF']
Jalen Green,7.4,17.9,4.8,6.1,2.5,3.7,3.7,0.8,0.2,2.6,22.1,34.2,76.0,SG,,jalen green,['SG']
Keldon Johnson,8.0,17.7,3.9,5.2,2.1,5.0,2.9,0.7,0.2,2.1,22.0,32.7,63.0,SF,,keldon johnson,['SF']
Klay Thompson,7.9,18.1,1.7,1.9,4.4,4.1,2.4,0.7,0.4,1.8,21.9,33.0,69.0,SF,,klay thompson,['SF']
Bojan Bogdanović,7.3,14.9,4.5,5.1,2.5,3.8,2.6,0.6,0.1,2.3,21.6,32.1,59.0,PF,,bojan bogdanovic,['PF']
Darius Garland,7.6,16.4,4.0,4.7,2.4,2.7,7.8,1.2,0.1,2.9,21.6,35.5,69.0,PG,,darius garland,['PG']
Desmond Bane,7.8,16.2,3.1,3.5,2.9,5.0,4.4,1.0,0.4,2.2,21.5,31.7,58.0,SG,,desmond bane,['SG']
Kyle Kuzma,8.0,17.8,2.7,3.7,2.5,7.2,3.7,0.6,0.5,3.0,21.2,35.0,64.0,PF,,kyle kuzma,['PF']
Terry Rozier,7.8,18.9,2.8,3.5,2.6,4.1,5.1,1.2,0.3,2.1,21.1,35.3,63.0,SG,,terry rozier,['SG']
Anfernee Simons,7.5,16.9,2.6,2.9,3.4,2.6,4.1,0.7,0.2,2.1,21.1,35.0,62.0,SG,,anfernee simons,['SG']
James Harden,6.4,14.5,5.4,6.2,2.8,6.1,10.7,1.2,0.5,3.4,21.0,36.8,58.0,PG,,james harden,['PG']
CJ McCollum,7.8,17.9,2.4,3.2,2.8,4.4,5.7,0.9,0.5,2.4,20.9,35.3,75.0,PG,,cj mccollum,['PG']
Jordan Clarkson,7.5,16.9,3.3,4.0,2.5,4.0,4.4,0.5,0.2,3.0,20.8,32.6,61.0,SG,,jordan clarkson,['SG']
Karl-Anthony Towns,7.3,14.8,4.1,4.7,2.1,8.1,4.8,0.7,0.6,3.0,20.8,33.0,29.0,PF,,karl anthony towns,['PF']
Tyrese Haliburton,7.4,15.0,3.1,3.6,2.9,3.7,10.4,1.6,0.4,2.5,20.7,33.6,56.0,PG,,tyrese haliburton,['PG']
Jerami Grant,6.9,14.5,4.4,5.4,2.3,4.5,2.4,0.8,0.8,1.8,20.5,35.7,63.0,PF,,jerami grant,['PF']
Dejounte Murray,8.3,17.8,2.1,2.6,1.8,5.3,6.1,1.5,0.3,2.2,20.5,36.4,74.0,SG,,dejounte murray,['SG']
Bam Adebayo,8.0,14.9,4.3,5.4,0.0,9.2,3.2,1.2,0.8,2.5,20.4,34.6,75.0,C,,bam adebayo,['C']
Jordan Poole,6.7,15.6,4.4,5.1,2.6,2.7,4.5,0.8,0.3,3.1,20.4,30.0,82.0,PG,,jordan poole,['PG']
Tyrese Maxey,7.3,15.2,3.0,3.6,2.7,2.9,3.5,0.8,0.1,1.3,20.3,33.6,60.0,SG,,tyrese maxey,['SG']
Kelly Oubre Jr.,7.4,17.1,3.3,4.3,2.3,5.2,1.1,1.4,0.4,1.3,20.3,32.3,48.0,SF,,kelly oubre jr,['SF']
Mikal Bridges,7.1,15.3,3.8,4.3,2.0,4.4,3.3,1.1,0.7,1.5,20.1,35.7,83.0,SG,,mikal bridges,['SG']
Mikal Bridges,6.3,13.6,2.8,3.1,1.8,4.3,3.6,1.2,0.8,1.4,17.2,36.4,56.0,SF,,mikal bridges,['SF']
Mikal Bridges,8.9,18.6,5.9,6.6,2.5,4.5,2.7,1.0,0.6,1.8,26.1,34.2,27.0,SG,,mikal bridges,['SG']
Tyler Herro,7.3,16.6,2.5,2.7,3.0,5.4,4.2,0.8,0.2,2.4,20.1,34.9,67.0,SG,,tyler herro,['SG']
Paolo Banchero,6.7,15.6,5.5,7.4,1.2,6.9,3.7,0.8,0.5,2.8,20.0,33.8,72.0,PF,,paolo banchero,['PF']
Louis King,8.0,13.0,0.0,1.0,4.0,4.0,2.0,1.0,0.0,2.0,20.0,29.0,1.0,PF,,louis king,['PF']
Jamal Murray,7.3,16.0,2.8,3.3,2.6,4.0,6.2,1.0,0.2,2.2,20.0,32.8,65.0,PG,,jamal murray,['PG']
Cade Cunningham,7.8,18.7,3.0,3.6,1.4,6.2,6.0,0.8,0.6,3.3,19.9,33.3,12.0,PG,,cade cunningham,['PG']
RJ Barrett,7.0,16.1,4.0,5.4,1.7,5.0,2.8,0.4,0.2,2.2,19.6,33.9,73.0,SG,,rj barrett,['SG']
Jrue Holiday,7.3,15.3,2.3,2.6,2.4,5.1,7.4,1.2,0.4,2.9,19.3,32.6,67.0,PG,,jrue holiday,['PG']
Fred VanVleet,6.3,16.1,3.7,4.1,3.0,4.1,7.2,1.8,0.6,2.0,19.3,36.7,69.0,PG,,fred vanvleet,['PG']
Kevin Porter Jr.,6.6,15.0,3.5,4.5,2.4,5.3,5.7,1.4,0.3,3.2,19.2,34.3,59.0,PG,,kevin porter jr,['PG']
Domantas Sabonis,7.3,11.9,4.1,5.5,0.4,12.3,7.3,0.8,0.5,2.9,19.1,34.6,79.0,C,,domantas sabonis,['C']
Jaren Jackson Jr.,6.6,13.0,3.8,4.9,1.6,6.8,1.0,1.0,3.0,1.7,18.6,28.4,63.0,C,,jaren jackson jr,['C']
Franz Wagner,6.8,14.0,3.4,4.0,1.6,4.1,3.5,1.0,0.2,2.1,18.6,32.6,80.0,SF,,franz wagner,['SF']
Devin Vassell,6.9,15.7,2.1,2.6,2.7,3.9,3.6,1.1,0.4,1.5,18.5,31.0,38.0,SG,,devin vassell,['SG']
Deandre Ayton,7.8,13.2,2.3,3.0,0.1,10.0,1.7,0.6,0.8,1.8,18.0,30.4,67.0,C,,deandre ayton,['C']
Myles Turner,6.5,11.8,3.5,4.5,1.5,7.5,1.4,0.6,2.3,1.7,18.0,29.4,62.0,C,,myles turner,['C']
D'Angelo Russell,6.3,13.4,2.5,3.0,2.7,3.0,6.2,1.0,0.4,2.6,17.8,32.5,71.0,PG,,d angelo russell,['PG']
D'Angelo Russell,6.3,13.5,2.6,3.1,2.7,3.1,6.2,1.1,0.4,2.7,17.9,32.9,54.0,PG,,d angelo russell,['PG']
D'Angelo Russell,6.3,13.0,2.1,2.9,2.7,2.9,6.1,0.6,0.5,2.3,17.4,30.9,17.0,PG,,d angelo russell,['PG']
Nikola Vučević,7.3,14.0,1.6,1.9,1.5,11.0,3.2,0.7,0.7,1.7,17.6,33.5,82.0,C,,nikola vucevic,['C']
Michael Porter Jr.,6.4,13.2,1.5,1.9,3.0,5.5,1.0,0.6,0.5,1.1,17.4,29.0,62.0,SF,,michael porter jr,['SF']
Gary Trent Jr.,6.1,14.2,2.6,3.1,2.5,2.6,1.6,1.6,0.2,0.8,17.4,32.1,66.0,SG,,gary trent jr,['SG']
Spencer Dinwiddie,5.8,13.3,3.4,4.2,2.3,3.4,6.5,0.8,0.3,1.8,17.3,34.5,79.0,SG,,spencer dinwiddie,['SG']
Spencer Dinwiddie,6.0,13.1,3.2,3.9,2.6,3.1,5.3,0.7,0.3,1.7,17.7,34.1,53.0,SG,,spencer dinwiddie,['SG']
Spencer Dinwiddie,5.5,13.7,3.8,4.7,1.7,4.1,9.1,1.1,0.3,2.1,16.5,35.3,26.0,PG,,spencer dinwiddie,['PG']
Andrew Wiggins,6.8,14.3,1.2,1.9,2.4,5.0,2.3,1.2,0.8,1.3,17.1,32.2,37.0,SF,,andrew wiggins,['SF']
Norman Powell,5.7,11.8,3.8,4.6,1.9,2.9,1.8,0.8,0.3,1.7,17.0,26.1,60.0,SG,,norman powell,['SG']
OG Anunoby,6.3,13.2,2.1,2.5,2.1,5.0,2.0,1.9,0.7,2.0,16.8,35.6,67.0,SF,,og anunoby,['SF']
Buddy Hield,5.9,13.0,1.3,1.6,3.6,5.0,2.8,1.2,0.3,1.7,16.8,31.0,80.0,SF,,buddy hield,['SF']
Bennedict Mathurin,5.3,12.2,4.8,5.8,1.3,4.1,1.5,0.6,0.2,1.9,16.7,28.5,78.0,SG,,bennedict mathurin,['SG']
Josh Giddey,7.1,14.7,1.4,1.9,1.0,7.9,6.2,0.8,0.4,2.8,16.6,31.1,76.0,PF,,josh giddey,['PF']
Christian Wood,5.9,11.5,3.2,4.2,1.6,7.3,1.8,0.4,1.1,1.8,16.6,25.9,67.0,C,,christian wood,['C']
Aaron Gordon,6.3,11.2,2.8,4.6,0.9,6.6,3.0,0.8,0.8,1.4,16.3,30.2,68.0,PF,,aaron gordon,['PF']
Jaden Ivey,5.5,13.3,3.6,4.8,1.6,3.9,5.2,0.8,0.2,3.2,16.3,31.1,74.0,SG,,jaden ivey,['SG']
Evan Mobley,6.6,12.0,2.6,3.8,0.3,9.0,2.8,0.8,1.5,1.8,16.2,34.4,79.0,PF,,evan mobley,['PF']
RaiQuan Gray,6.0,12.0,2.0,2.0,2.0,9.0,7.0,0.0,1.0,4.0,16.0,35.0,1.0,PF,,raiquan gray,['PF']
Brook Lopez,6.1,11.5,1.9,2.4,1.7,6.7,1.3,0.5,2.5,1.4,15.9,30.4,78.0,C,,brook lopez,['C']
Russell Westbrook,5.9,13.6,2.8,4.3,1.2,5.8,7.5,1.0,0.5,3.5,15.9,29.1,73.0,PG,,russell westbrook,['PG']
Russell Westbrook,5.8,14.0,3.0,4.6,1.2,6.2,7.5,1.0,0.4,3.5,15.9,28.7,52.0,PG,,russell westbrook,['PG']
Russell Westbrook,6.1,12.5,2.4,3.6,1.2,4.9,7.6,1.1,0.5,3.4,15.8,30.2,21.0,PG,,russell westbrook,['PG']
P.J. Washington,5.9,13.4,1.7,2.4,2.0,4.9,2.4,0.9,1.1,1.5,15.7,32.6,73.0,PF,,p j washington,['PF']
Cameron Johnson,5.3,11.3,2.4,2.9,2.5,4.4,1.9,1.2,0.3,0.9,15.5,28.5,42.0,PF,,cameron johnson,['PF']
Cameron Johnson,4.8,10.2,1.6,1.9,2.6,3.8,1.5,0.9,0.4,0.6,13.9,25.2,17.0,PF,,cameron johnson,['PF']
Cameron Johnson,5.6,12.0,3.0,3.5,2.3,4.8,2.1,1.4,0.3,1.1,16.6,30.8,25.0,PF,,cameron johnson,['PF']
De'Andre Hunter,5.7,12.3,2.6,3.1,1.5,4.2,1.4,0.5,0.3,1.2,15.4,31.7,67.0,SF,,de andre hunter,['SF']
Scottie Barnes,6.0,13.2,2.5,3.2,0.8,6.6,4.8,1.1,0.8,2.0,15.3,34.8,77.0,SF,,scottie barnes,['SF']
