Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,NameKey,PosList
Shai Gilgeous-Alexander,11.3,21.8,7.9,8.8,2.1,5.0,6.4,1.7,1.0,2.4,32.7,34.2,76.0,PG,,shai gilgeous alexander,['PG']
Giannis Antetokounmpo,11.8,19.7,6.5,10.6,0.2,11.9,6.5,0.9,1.2,3.1,30.4,34.2,67.0,PF,,giannis antetokounmpo,['PF']
Nikola Jokić,11.2,19.5,5.2,6.4,2.0,12.7,10.2,1.8,0.6,3.3,29.6,36.7,70.0,C,,nikola jokic,['C']
Luka Dončić,9.2,20.5,6.2,7.9,3.5,8.2,7.7,1.8,0.4,3.6,28.2,35.4,50.0,PG,,luka doncic,['PG']
Luka Dončić,9.8,21.2,5.1,6.6,3.4,8.3,7.8,2.0,0.4,3.4,28.1,35.7,22.0,PG,,luka doncic,['PG']
Luka Dončić,8.8,20.0,7.0,8.9,3.6,8.1,7.5,1.6,0.4,3.7,28.2,35.1,28.0,PG,,luka doncic,['PG']
Anthony Edwards,9.1,20.4,5.3,6.3,4.1,5.7,4.5,1.2,0.6,3.2,27.6,36.3,79.0,SG,,anthony edwards,['SG']
Jayson Tatum,9.2,20.3,5.0,6.1,3.5,8.7,6.0,1.1,0.5,2.9,26.8,36.4,72.0,PF,,jayson tatum,['PF']
Kevin Durant,9.5,18.1,4.9,5.8,2.6,6.0,4.2,0.8,1.2,3.1,26.6,36.5,62.0,PF,,kevin durant,['PF']
Tyrese Maxey,9.2,21.0,4.9,5.6,3.1,3.3,6.1,1.8,0.4,2.4,26.3,37.7,52.0,PG,,tyrese maxey,['PG']
Cade Cunningham,9.8,20.8,4.5,5.3,2.1,6.1,9.1,1.0,0.8,4.4,26.1,35.0,70.0,PG,,cade cunningham,['PG']
Jalen Brunson,9.0,18.5,5.7,6.9,2.3,2.9,7.3,0.9,0.1,2.5,26.0,35.4,65.0,PG,,jalen brunson,['PG']
Paolo Banchero,9.0,19.8,6.1,8.4,1.9,7.5,4.8,0.8,0.6,3.0,25.9,34.4,46.0,PF,,paolo banchero,['PF']
Devin Booker,8.7,18.9,5.8,6.4,2.4,4.1,7.1,0.9,0.2,2.9,25.6,37.3,75.0,SG,,devin booker,['SG']
LaMelo Ball,8.6,21.3,4.1,4.9,3.8,4.9,7.4,1.1,0.3,3.6,25.2,32.0,47.0,PG,,lamelo ball,['PG']
Damian Lillard,7.7,17.1,6.2,6.8,3.4,4.7,7.1,1.2,0.2,2.8,24.9,36.1,58.0,PG,,damian lillard,['PG']
Anthony Davis,9.2,17.8,5.6,7.2,0.7,11.6,3.5,1.2,2.2,2.2,24.7,33.5,51.0,C,,anthony davis,['C']
Anthony Davis,9.5,18.0,6.0,7.6,0.7,11.9,3.4,1.3,2.1,2.2,25.7,34.3,42.0,C,,anthony davis,['C']
