Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,NameKey,PosList
Joel Embiid,11.5,21.8,10.2,11.6,1.4,11.0,5.6,1.2,1.7,3.8,34.7,33.6,39.0,C,,joel embiid,['C']
Luka Dončić,11.5,23.6,6.8,8.7,4.1,9.2,9.8,1.4,0.5,4.0,33.9,37.5,70.0,PG,,luka doncic,['PG']
Giannis Antetokounmpo,11.5,18.8,7.0,10.7,0.5,11.5,6.5,1.2,1.1,3.4,30.4,35.2,73.0,PF,,giannis antetokounmpo,['PF']
Shai Gilgeous-Alexander,10.6,19.8,7.6,8.7,1.3,5.5,6.2,2.0,0.9,2.2,30.1,34.0,75.0,PG,,shai gilgeous alexander,['PG']
Jalen Brunson,10.3,21.4,5.5,6.5,2.7,3.6,6.7,0.9,0.2,2.4,28.7,35.4,77.0,PG,,jalen brunson,['PG']
Devin Booker,9.4,19.2,6.0,6.7,2.2,4.5,6.9,0.9,0.4,2.6,27.1,36.0,68.0,PG,,devin booker,['PG']
Kevin Durant,10.0,19.1,4.8,5.6,2.2,6.6,5.0,0.9,1.2,3.3,27.1,37.2,75.0,PF,,kevin durant,['PF']
Jayson Tatum,9.1,19.3,5.6,6.7,3.1,8.1,4.9,1.0,0.6,2.5,26.9,35.7,74.0,PF,,jayson tatum,['PF']
De'Aaron Fox,9.7,20.9,4.2,5.7,2.9,4.6,5.6,2.0,0.4,2.6,26.6,35.9,74.0,PG,,de aaron fox,['PG']
Donovan Mitchell,9.1,19.8,5.0,5.8,3.3,5.1,6.1,1.8,0.5,2.8,26.6,35.3,55.0,SG,,donovan mitchell,['SG']
Stephen Curry,8.8,19.5,4.0,4.4,4.8,4.5,5.1,0.7,0.4,2.8,26.4,32.7,74.0,PG,,stephen curry,['PG']
Nikola Jokić,10.4,17.9,4.5,5.5,1.1,12.4,9.0,1.4,0.9,3.0,26.4,34.6,79.0,C,,nikola jokic,['C']
Anthony Edwards,9.1,19.7,5.4,6.4,2.4,5.4,5.1,1.3,0.5,3.1,25.9,35.1,79.0,SG,,anthony edwards,['SG']
