Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,PosList
R.J. Hampton,4.3,9.7,1.8,2.7,0.8,5.0,2.8,0.6,0.3,1.6,11.2,25.2,26.0,SG,,['SG']
Moritz Wagner,2.3,5.1,1.6,1.9,0.7,3.2,1.1,0.6,0.4,1.0,6.9,16.0,45.0,C,,['C']
Moritz Wagner,2.5,4.9,1.6,2.1,0.5,2.9,1.3,0.9,0.3,0.8,7.1,15.0,25.0,C,,['C']
Moritz Wagner,0.4,1.6,0.1,0.2,0.2,2.1,0.7,0.0,0.1,1.0,1.2,6.8,9.0,C,,['C']
Moritz Wagner,3.5,8.5,2.6,3.0,1.5,4.9,1.1,0.4,0.8,1.2,11.0,26.0,11.0,C,,['C']
Georges Niang,2.5,5.6,0.3,0.3,1.7,2.4,0.8,0.3,0.1,0.7,6.9,16.0,72.0,PF,,['PF']
Gorgui Dieng,2.2,4.3,1.5,1.8,0.8,3.7,1.3,0.7,0.4,0.8,6.8,14.5,38.0,C,,['C']
Gorgui Dieng,2.5,4.9,1.7,2.0,1.0,4.5,1.3,0.8,0.6,1.0,7.9,16.9,22.0,C,,['C']
Gorgui Dieng,1.8,3.4,1.3,1.5,0.4,2.6,1.2,0.6,0.1,0.6,5.3,11.3,16.0,C,,['C']
Pat Connaughton,2.4,5.6,0.4,0.6,1.5,4.8,1.2,0.7,0.3,0.5,6.8,22.8,69.0,SG,,['SG']
Killian Hayes,2.7,7.7,0.5,0.7,0.8,2.7,5.3,1.0,0.4,3.2,6.8,25.8,26.0,PG,,['PG']
Derrick Jones Jr.,2.5,5.2,1.0,1.6,0.7,3.5,0.8,0.6,0.9,0.6,6.8,22.7,58.0,SF,,['SF']
Jaden McDaniels,2.6,5.8,0.4,0.7,1.1,3.7,1.1,0.6,1.0,0.7,6.8,24.0,63.0,PF,,['PF']
Justise Winslow,2.8,8.1,0.8,1.3,0.4,4.5,1.9,0.6,0.5,1.4,6.8,19.5,26.0,SF,,['SF']
Dennis Smith Jr.,2.5,6.3,0.8,1.1,0.8,2.4,3.3,1.0,0.6,1.1,6.7,18.3,23.0,PG,,['PG']
Dennis Smith Jr.,0.7,3.3,1.7,2.0,0.0,0.7,1.0,1.0,0.0,0.3,3.0,9.3,3.0,PG,,['PG']
Dennis Smith Jr.,2.8,6.8,0.7,1.0,1.0,2.7,3.7,1.0,0.7,1.3,7.3,19.6,20.0,PG,,['PG']
Jeff Teague,2.2,5.2,1.6,1.9,0.7,1.6,2.4,0.6,0.2,1.2,6.7,17.3,55.0,PG,,['PG']
Jeff Teague,2.3,5.5,1.5,1.8,0.8,1.7,2.1,0.8,0.2,1.1,6.9,18.1,34.0,PG,,['PG']
Jeff Teague,2.1,4.6,1.8,2.1,0.5,1.5,2.8,0.4,0.2,1.2,6.6,15.9,21.0,PG,,['PG']
Spencer Dinwiddie,2.0,5.3,2.0,2.0,0.7,4.3,3.0,0.7,0.3,1.7,6.7,21.3,3.0,SG,,['SG']
Damyean Dotson,2.6,6.4,0.5,0.8,1.0,2.0,2.0,0.3,0.1,0.9,6.7,19.7,46.0,SG,,['SG']
Markieff Morris,2.5,6.2,0.6,0.8,1.1,4.4,1.2,0.4,0.3,0.9,6.7,19.7,61.0,PF,,['PF']
Abdel Nader,2.4,4.8,1.2,1.5,0.8,2.6,0.8,0.4,0.4,0.8,6.7,14.8,24.0,SF,,['SF']
Ish Smith,2.9,6.8,0.4,0.8,0.4,3.4,3.9,0.7,0.3,0.9,6.7,21.0,44.0,PG,,['PG']
Alex Len,2.7,4.3,1.1,1.8,0.1,4.1,0.8,0.3,1.0,0.9,6.6,15.3,64.0,C,,['C']
Alex Len,0.7,1.4,0.4,0.9,0.4,1.6,0.4,0.1,0.9,1.1,2.3,10.9,7.0,C,,['C']
Alex Len,2.9,4.7,1.2,1.9,0.1,4.4,0.8,0.3,1.0,0.8,7.1,15.8,57.0,C,,['C']
Trey Burke,2.4,5.7,0.8,0.9,0.9,0.9,1.3,0.6,0.1,0.5,6.6,14.7,62.0,PG,,['PG']
Nic Claxton,2.8,4.5,1.0,2.0,0.0,5.2,0.9,0.7,1.3,0.6,6.6,18.6,32.0,C,,['C']
Frank Kaminsky,2.6,5.5,0.8,1.3,0.7,4.0,1.7,0.3,0.4,0.5,6.6,15.2,47.0,C,,['C']
Xavier Tillman Sr.,2.8,5.1,0.6,0.9,0.4,4.3,1.3,0.7,0.6,0.8,6.6,18.4,59.0,PF,,['PF']
Nemanja Bjelica,2.4,5.3,1.0,1.4,0.7,3.4,1.9,0.4,0.1,0.9,6.5,16.1,37.0,PF,,['PF']
Nemanja Bjelica,2.7,5.8,1.2,1.6,0.7,3.8,1.9,0.3,0.1,1.1,7.2,16.9,26.0,PF,,['PF']
Nemanja Bjelica,1.8,4.2,0.5,0.8,0.9,2.5,1.8,0.6,0.3,0.5,5.0,14.2,11.0,PF,,['PF']
Marquese Chriss,2.5,7.0,1.0,2.0,0.5,6.5,1.0,0.0,1.0,1.0,6.5,13.5,2.0,PF,,['PF']
Damion Lee,2.2,4.8,0.7,0.8,1.4,3.2,1.3,0.7,0.1,0.5,6.5,18.9,57.0,SG,,['SG']
Chasson Randle,2.2,5.8,0.9,1.2,1.1,2.0,1.8,0.5,0.1,1.1,6.5,20.4,41.0,PG,,['PG']
Denzel Valentine,2.5,6.7,0.3,0.3,1.3,3.2,1.7,0.5,0.1,0.7,6.5,16.7,62.0,SG,,['SG']
Avery Bradley,2.4,6.3,0.4,0.6,1.2,2.1,1.7,0.8,0.1,1.0,6.4,22.3,27.0,SG,,['SG']
Avery Bradley,3.1,6.6,0.7,0.9,1.6,1.8,1.4,0.7,0.1,0.9,8.5,21.1,10.0,SG,,['SG']
Avery Bradley,1.9,6.2,0.3,0.4,1.0,2.3,1.9,0.8,0.1,1.1,5.2,23.0,17.0,SG,,['SG']
Alex Caruso,2.3,5.3,0.8,1.3,0.9,2.9,2.8,1.1,0.3,1.3,6.4,21.0,58.0,PG,,['PG']
Kira Lewis Jr.,2.4,6.2,0.8,0.9,0.7,1.3,2.3,0.7,0.2,0.6,6.4,16.7,54.0,PG,,['PG']
TimothÃ© Luwawu-Cabarrot,2.2,6.1,0.6,0.7,1.3,2.2,1.2,0.6,0.1,0.7,6.4,18.1,58.0,SF,,['SF']
Deni Avdija,2.4,5.8,0.5,0.8,1.0,4.9,1.2,0.6,0.3,0.6,6.3,23.3,54.0,SF,,['SF']
Tyus Jones,2.5,5.9,0.6,0.6,0.6,2.0,3.7,0.9,0.1,0.7,6.3,17.5,70.0,PG,,['PG']
Frank Mason,2.3,6.0,1.3,1.8,0.5,3.0,3.0,0.0,0.0,1.3,6.3,19.8,4.0,PG,,['PG']
Chimezie Metu,2.5,5.0,0.9,1.2,0.4,3.1,0.8,0.4,0.5,0.8,6.3,13.6,36.0,C,,['C']
Aron Baynes,2.5,5.7,0.5,0.8,0.5,5.2,0.9,0.3,0.4,0.9,6.1,18.5,53.0,C,,['C']
Facundo Campazzo,1.8,4.8,1.2,1.4,1.2,2.1,3.6,1.2,0.2,1.1,6.1,21.9,65.0,PG,,['PG']
Robert Franks,1.9,4.0,1.7,1.9,0.7,2.0,0.7,0.4,0.4,0.3,6.1,14.4,7.0,PF,,['PF']
Jaylen Hoard,2.3,4.6,1.5,2.2,0.0,3.4,1.3,0.7,0.3,0.9,6.1,16.8,19.0,SF,,['SF']
Max Strus,2.2,4.8,0.4,0.6,1.3,1.1,0.6,0.3,0.1,0.2,6.1,13.0,39.0,SF,,['SF']
Dakota Mathias,2.4,6.0,0.3,0.8,1.0,0.9,1.6,0.1,0.4,0.1,6.0,15.4,8.0,SG,,['SG']
Dean Wade,2.1,4.9,0.5,0.6,1.2,3.4,1.2,0.6,0.3,0.5,6.0,19.2,63.0,PF,,['PF']
Dwight Powell,2.1,3.3,1.7,2.1,0.1,4.0,1.1,0.6,0.5,0.7,5.9,16.7,58.0,C,,['C']
Drew Eubanks,2.1,3.8,1.4,2.0,0.0,4.5,0.8,0.3,0.9,0.8,5.8,14.0,54.0,C,,['C']
DeAndre' Bembry,2.3,4.5,0.9,1.3,0.3,2.9,2.1,1.0,0.4,1.4,5.7,19.1,51.0,SF,,['SF']
Rodney McGruder,2.3,4.4,0.4,0.5,0.7,1.4,1.0,0.5,0.1,0.4,5.7,12.1,16.0,SG,,['SG']
Jordan Nwora,2.1,4.5,0.6,0.8,0.9,2.0,0.2,0.5,0.2,0.8,5.7,9.1,30.0,SF,,['SF']
Juan Toscano-Anderson,2.3,3.9,0.4,0.6,0.7,4.4,2.8,0.8,0.5,1.2,5.7,20.9,53.0,SG,,['SG']
Yogi Ferrell,2.0,5.7,0.7,0.9,0.9,1.9,2.2,0.7,0.3,0.3,5.6,13.6,10.0,PG,,['PG']
Yogi Ferrell,4.0,10.5,0.0,1.0,1.5,3.5,2.5,1.5,0.5,1.5,9.5,20.0,2.0,PG,,['PG']
Yogi Ferrell,1.5,4.5,0.9,0.9,0.8,1.5,2.1,0.5,0.3,0.0,4.6,12.0,8.0,PG,,['PG']
Freddie Gillespie,2.2,4.2,1.2,1.7,0.0,4.9,0.5,0.7,1.0,0.6,5.6,19.6,20.0,PF,,['PF']
Donta Hall,1.9,2.7,1.8,2.6,0.0,4.8,0.8,0.4,0.8,0.6,5.6,13.8,13.0,PF,,['PF']
Saben Lee,2.1,4.4,1.3,1.9,0.2,2.0,3.6,0.7,0.3,1.1,5.6,16.3,48.0,PG,,['PG']
Mychal Mulder,2.0,4.4,0.2,0.4,1.4,1.0,0.4,0.2,0.2,0.3,5.6,12.8,60.0,PG,,['PG']
Torrey Craig,2.2,4.5,0.3,0.4,0.8,3.9,1.0,0.6,0.5,0.5,5.5,16.1,50.0,SF,,['SF']
Torrey Craig,1.0,2.6,0.1,0.1,0.4,2.4,0.9,0.5,0.4,0.3,2.5,11.2,18.0,SF,,['SF']
Torrey Craig,2.8,5.7,0.5,0.6,1.0,4.8,1.0,0.6,0.6,0.6,7.2,18.8,32.0,SF,,['SF']
Brad Wanamaker,1.9,4.9,1.5,1.7,0.3,1.7,2.9,0.7,0.2,1.2,5.5,17.3,61.0,PG,,['PG']
Brad Wanamaker,1.6,4.4,1.3,1.4,0.3,1.7,2.5,0.7,0.2,0.9,4.7,16.0,39.0,PG,,['PG']
Brad Wanamaker,2.5,5.7,1.8,2.0,0.1,1.8,3.4,0.8,0.2,1.5,6.9,19.5,22.0,PG,,['PG']
Jabari Parker,2.3,4.2,0.8,1.0,0.2,3.2,0.8,0.1,0.4,0.8,5.5,12.7,13.0,PF,,['PF']
Jabari Parker,1.3,2.3,0.0,0.0,0.0,2.0,0.3,0.0,0.3,1.0,2.7,9.0,3.0,PF,,['PF']
Jabari Parker,2.6,4.8,1.0,1.3,0.2,3.6,1.0,0.1,0.4,0.7,6.4,13.8,10.0,PF,,['PF']
Anthony Lamb,1.9,4.9,0.8,0.9,1.0,2.9,1.0,0.3,0.2,0.8,5.5,17.3,24.0,SF,,['SF']
Garrison Mathews,1.5,3.7,1.3,1.5,1.2,1.4,0.4,0.5,0.1,0.2,5.5,16.2,64.0,SG,,['SG']
Devin Vassell,2.0,4.9,0.7,0.8,0.8,2.8,0.9,0.7,0.3,0.4,5.5,17.0,62.0,SF,,['SF']
Rajon Rondo,2.1,4.8,0.4,0.4,0.8,2.4,4.4,0.8,0.1,1.8,5.4,17.1,45.0,PG,,['PG']
Rajon Rondo,1.6,4.1,0.0,0.1,0.6,2.0,3.5,0.7,0.1,1.4,3.9,14.9,27.0,PG,,['PG']
Rajon Rondo,2.8,5.8,0.8,0.8,1.1,3.1,5.8,1.0,0.1,2.2,7.6,20.4,18.0,PG,,['PG']
Derrick Favors,2.3,3.6,0.9,1.2,0.0,5.5,0.6,0.5,1.0,0.5,5.4,15.3,68.0,C,,['C']
Taj Gibson,2.2,3.5,0.9,1.2,0.1,5.6,0.8,0.7,1.1,0.5,5.4,20.8,45.0,C,,['C']
Tyler Johnson,1.8,4.7,0.5,0.5,1.2,2.0,1.2,0.4,0.0,0.4,5.4,17.5,39.0,SG,,['SG']
Jahlil Okafor,2.3,3.8,0.6,0.9,0.1,2.4,0.5,0.2,0.2,0.8,5.4,12.9,27.0,C,,['C']
Josh Okogie,1.7,4.3,1.4,1.8,0.5,2.6,1.1,0.9,0.5,0.7,5.4,20.3,59.0,SG,,['SG']
Justin Patton,2.2,5.4,0.2,0.3,0.7,3.8,1.1,0.9,1.1,0.3,5.4,19.0,13.0,C,,['C']
Jarred Vanderbilt,2.2,3.7,0.9,1.6,0.0,5.8,1.2,1.0,0.7,0.8,5.4,17.8,64.0,PF,,['PF']
Mason Jones,1.6,3.8,1.3,2.0,0.8,1.7,1.3,0.2,0.0,0.9,5.3,10.4,32.0,SG,,['SG']
Mason Jones,1.8,4.4,1.3,2.2,0.9,2.0,1.5,0.2,0.0,1.1,5.8,11.8,26.0,SG,,['SG']
Mason Jones,0.8,1.5,0.8,1.2,0.2,0.7,0.5,0.2,0.0,0.2,2.7,4.5,6.0,SG,,['SG']
Willie Cauley-Stein,2.2,3.4,0.9,1.5,0.0,4.5,0.7,0.4,0.8,0.5,5.3,17.1,53.0,C,,['C']
Jarrett Culver,2.0,4.9,0.9,1.4,0.4,3.1,0.7,0.5,0.3,0.8,5.3,14.7,34.0,SG,,['SG']
Glenn Robinson,1.8,4.3,0.9,1.0,0.7,2.0,0.9,0.2,0.1,0.5,5.3,16.0,23.0,SF,,['SF']
Tony Snell,1.9,3.6,0.2,0.2,1.3,2.4,1.3,0.3,0.2,0.4,5.3,21.1,47.0,SG,,['SG']
Maurice Harkless,1.9,4.5,0.9,1.2,0.6,2.4,1.2,0.8,0.5,0.6,5.2,20.9,37.0,SF,,['SF']
Maurice Harkless,0.5,1.2,0.0,0.2,0.5,1.2,0.6,0.2,0.4,0.3,1.4,11.3,11.0,SF,,['SF']
Maurice Harkless,2.5,5.8,1.3,1.6,0.7,2.9,1.4,1.1,0.6,0.7,6.9,24.9,26.0,PF,,['PF']
D.J. Wilson,1.9,4.8,0.5,0.7,0.9,3.2,0.7,0.3,0.5,0.6,5.2,12.4,35.0,PF,,['PF']
D.J. Wilson,1.3,3.6,0.1,0.2,0.8,2.1,0.3,0.1,0.3,0.3,3.6,8.8,12.0,PF,,['PF']
D.J. Wilson,2.3,5.4,0.7,1.0,0.9,3.8,0.9,0.4,0.5,0.8,6.1,14.3,23.0,PF,,['PF']
Alize Johnson,2.2,3.8,0.7,0.7,0.1,5.0,0.8,0.3,0.3,0.5,5.2,10.5,18.0,PF,,['PF']
Patrick Patterson,1.9,4.3,0.3,0.4,1.1,2.0,0.8,0.4,0.2,0.3,5.2,15.3,38.0,PF,,['PF']
Dylan Windler,1.8,4.2,0.7,0.9,0.8,3.5,1.1,0.6,0.4,1.0,5.2,16.5,31.0,SF,,['SF']
Isaiah Hartenstein,2.0,3.7,1.0,1.5,0.0,3.9,1.2,0.4,0.8,1.0,5.1,12.2,46.0,C,,['C']
Isaiah Hartenstein,1.4,2.7,0.7,1.2,0.0,2.8,0.5,0.4,0.7,0.7,3.5,9.1,30.0,C,,['C']
Isaiah Hartenstein,3.3,5.7,1.5,2.2,0.1,6.0,2.5,0.5,1.2,1.4,8.3,17.9,16.0,C,,['C']
Goga Bitadze,1.8,4.3,1.0,1.4,0.4,3.3,0.8,0.2,1.3,0.4,5.1,12.5,45.0,C,,['C']
Sekou Doumbouya,1.9,5.0,0.8,1.1,0.5,2.6,0.8,0.4,0.2,0.8,5.1,15.5,56.0,PF,,['PF']
Jake Layman,2.0,4.1,0.6,0.8,0.5,1.5,0.6,0.6,0.4,0.6,5.1,13.9,45.0,SF,,['SF']
Nerlens Noel,2.1,3.5,0.8,1.1,0.0,6.4,0.7,1.1,2.2,1.0,5.1,24.2,64.0,C,,['C']
Precious Achiuwa,2.0,3.7,0.9,1.8,0.0,3.4,0.5,0.3,0.5,0.7,5.0,12.1,61.0,PF,,['PF']
Bismack Biyombo,2.2,3.7,0.7,1.6,0.0,5.3,1.2,0.3,1.1,1.1,5.0,20.4,66.0,C,,['C']
Marc Gasol,1.7,3.7,0.7,1.0,1.0,4.1,2.1,0.5,1.1,1.0,5.0,19.1,52.0,C,,['C']
Trey Lyles,1.9,3.9,0.7,1.0,0.6,3.7,0.6,0.3,0.0,0.3,5.0,15.6,23.0,PF,,['PF']
Caleb Martin,1.8,4.8,0.8,1.2,0.6,2.7,1.3,0.7,0.2,0.6,5.0,15.4,53.0,SF,,['SF']
Jordan McLaughlin,2.0,4.7,0.5,0.6,0.6,2.1,3.8,1.0,0.1,1.0,5.0,18.4,51.0,PG,,['PG']
Tyler Cook,2.2,3.2,0.5,1.1,0.0,3.0,0.5,0.3,0.1,0.7,4.9,13.7,32.0,SF,,['SF']
Tyler Cook,0.3,0.8,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.3,0.5,4.3,4.0,PF,,['PF']
Tyler Cook,2.4,3.6,0.6,1.3,0.0,3.3,0.5,0.3,0.1,0.7,5.5,15.0,28.0,SF,,['SF']
Brandon Goodwin,1.8,4.7,0.6,0.9,0.7,1.5,2.0,0.4,0.0,0.8,4.9,13.2,47.0,PG,,['PG']
E'Twaun Moore,2.0,4.5,0.4,0.5,0.4,1.7,1.5,0.6,0.2,0.9,4.9,14.4,27.0,SG,,['SG']
Jerome Robinson,1.6,5.6,0.9,1.2,0.6,2.2,1.5,0.7,0.4,1.1,4.9,17.9,17.0,SG,,['SG']
Langston Galloway,1.7,3.7,0.6,0.6,0.9,1.1,0.7,0.2,0.0,0.3,4.8,11.0,40.0,SG,,['SG']
Wesley Matthews,1.5,4.3,0.6,0.7,1.1,1.6,0.9,0.7,0.3,0.4,4.8,19.5,58.0,SG,,['SG']
Gabe Vincent,1.8,4.7,0.4,0.5,0.9,1.1,1.3,0.4,0.0,0.7,4.8,13.1,50.0,PG,,['PG']
Damian Jones,1.8,2.6,1.1,1.5,0.0,3.1,0.7,0.3,0.7,0.7,4.7,14.0,39.0,C,,['C']
Damian Jones,0.6,1.1,0.4,0.8,0.0,1.3,0.3,0.1,0.4,0.4,1.6,6.7,14.0,C,,['C']
Damian Jones,2.0,2.1,1.4,1.5,0.0,3.3,0.1,0.1,0.9,0.6,5.4,14.0,8.0,C,,['C']
Damian Jones,2.7,4.1,1.5,2.1,0.1,4.5,1.4,0.5,1.0,0.9,6.9,20.1,17.0,C,,['C']
Troy Brown Jr.,1.8,4.2,0.4,0.6,0.6,3.1,0.9,0.3,0.2,0.6,4.7,15.4,34.0,SF,,['SF']
Troy Brown Jr.,1.6,4.2,0.5,0.7,0.7,2.9,0.9,0.1,0.2,0.8,4.3,13.7,21.0,SF,,['SF']
Troy Brown Jr.,2.2,4.2,0.4,0.5,0.6,3.4,0.8,0.5,0.2,0.4,5.5,18.2,13.0,SF,,['SF']
Boban MarjanoviÄ,1.9,3.7,0.9,1.2,0.0,3.9,0.3,0.1,0.2,0.4,4.7,8.2,33.0,C,,['C']
Aaron Nesmith,1.7,3.9,0.5,0.6,0.9,2.8,0.5,0.3,0.2,0.5,4.7,14.5,46.0,SF,,['SF']
Grant Williams,1.7,3.9,0.5,0.8,0.8,2.8,1.0,0.5,0.4,0.9,4.7,18.1,63.0,PF,,['PF']
Nassir Little,1.6,3.5,0.8,0.9,0.6,2.7,0.5,0.1,0.3,0.4,4.6,13.3,48.0,PF,,['PF']
Semi Ojeleye,1.6,3.9,0.4,0.6,1.0,2.6,0.7,0.3,0.0,0.4,4.6,17.0,56.0,PF,,['PF']
Onyeka Okongwu,1.9,3.0,0.7,1.1,0.0,3.3,0.4,0.5,0.7,0.6,4.6,12.0,50.0,C,,['C']
JaKarr Sampson,1.9,3.9,0.7,1.0,0.1,2.7,0.1,0.1,0.5,0.5,4.6,10.9,29.0,PF,,['PF']
Rodney Hood,1.7,4.7,0.4,0.5,0.6,1.9,1.0,0.4,0.1,0.7,4.5,17.1,55.0,SF,,['SF']
Rodney Hood,1.9,5.3,0.2,0.3,0.7,1.9,1.2,0.5,0.1,0.8,4.7,19.1,38.0,SF,,['SF']
Rodney Hood,1.2,3.5,0.9,0.9,0.5,1.8,0.4,0.2,0.2,0.3,3.9,12.7,17.0,SF,,['SF']
Solomon Hill,1.5,4.2,0.5,0.6,1.0,3.0,1.1,0.7,0.2,0.6,4.5,21.3,71.0,PF,,['PF']
Kelan Martin,1.8,3.9,0.3,0.3,0.7,2.2,0.5,0.3,0.3,0.5,4.5,9.2,35.0,SF,,['SF']
Al-Farouq Aminu,1.7,4.3,0.8,1.0,0.3,4.8,1.3,0.8,0.4,1.2,4.4,18.9,23.0,PF,,['PF']
Al-Farouq Aminu,2.1,5.2,0.8,1.0,0.4,5.4,1.7,1.0,0.5,1.5,5.5,21.6,17.0,PF,,['PF']
Al-Farouq Aminu,0.3,1.7,0.7,0.8,0.2,3.2,0.3,0.3,0.0,0.5,1.5,11.2,6.0,PF,,['PF']
Charlie Brown Jr.,1.4,4.8,1.0,1.1,0.6,1.9,1.0,0.4,0.2,0.7,4.4,16.9,9.0,SG,,['SG']
Andre Iguodala,1.5,3.9,0.4,0.6,1.0,3.5,2.3,0.9,0.6,1.1,4.4,21.3,63.0,SF,,['SF']
Stanley Johnson,1.5,3.8,0.7,0.9,0.7,2.5,1.5,0.9,0.3,0.9,4.4,16.5,61.0,PF,,['PF']
Yuta Watanabe,1.6,3.6,0.5,0.6,0.7,3.2,0.8,0.5,0.4,0.4,4.4,14.5,50.0,SF,,['SF']
Chandler Hutchison,1.6,4.1,0.8,1.0,0.3,3.1,0.7,0.5,0.2,0.8,4.3,13.8,25.0,SF,,['SF']
Chandler Hutchison,0.7,2.6,0.3,0.3,0.1,2.9,0.6,0.1,0.0,0.7,1.9,9.1,7.0,SF,,['SF']
Chandler Hutchison,1.9,4.7,1.1,1.3,0.4,3.2,0.7,0.6,0.3,0.8,5.2,15.7,18.0,SF,,['SF']
Devin Cannady,1.4,3.5,0.8,0.9,0.8,0.6,0.1,0.6,0.1,0.3,4.3,9.3,8.0,PG,,['PG']
John Konchar,1.6,3.2,0.6,0.7,0.5,3.0,1.1,0.7,0.2,0.4,4.3,13.4,43.0,SG,,['SG']
Mike Scott,1.5,4.1,0.2,0.2,1.0,2.4,0.8,0.5,0.3,0.4,4.2,16.7,51.0,PF,,['PF']
DaQuan Jeffries,1.6,3.9,0.2,0.3,0.6,2.3,0.7,0.5,0.3,0.5,4.1,15.9,31.0,SG,,['SG']
DaQuan Jeffries,1.3,3.2,0.3,0.4,0.5,1.6,0.3,0.4,0.2,0.4,3.5,12.9,18.0,SG,,['SG']
DaQuan Jeffries,2.0,4.8,0.1,0.1,0.8,3.2,1.2,0.6,0.5,0.5,4.9,20.1,13.0,SG,,['SG']
Jevon Carter,1.6,3.7,0.1,0.1,0.9,1.5,1.2,0.5,0.2,0.3,4.1,12.0,60.0,PG,,['PG']
Josh Hall,1.4,4.7,1.0,2.1,0.2,2.8,1.3,0.2,0.0,1.2,4.1,16.0,21.0,SF,,['SF']
Kevon Looney,1.8,3.2,0.5,0.8,0.1,5.3,2.0,0.3,0.4,0.6,4.1,19.0,61.0,C,,['C']
Nico Mannion,1.3,3.8,0.8,0.9,0.7,1.5,2.3,0.5,0.0,1.0,4.1,12.1,30.0,PG,,['PG']
Darius Miller,1.2,2.7,0.7,0.7,0.9,1.3,1.2,0.7,0.3,0.4,4.1,10.9,18.0,SF,,['SF']
Lamar Stevens,1.6,3.4,0.9,1.3,0.1,2.4,0.6,0.4,0.3,0.6,4.1,12.5,40.0,PF,,['PF']
Obi Toppin,1.7,3.4,0.3,0.4,0.4,2.2,0.5,0.3,0.2,0.4,4.1,11.0,62.0,PF,,['PF']
Paul Watson,1.4,3.0,0.2,0.3,1.1,1.7,0.6,0.2,0.1,0.3,4.1,11.0,27.0,SF,,['SF']
Jordan Bone,1.6,3.9,0.0,0.0,0.7,1.7,1.3,0.1,0.0,0.2,4.0,14.0,14.0,PG,,['PG']
Chris Chiozza,1.4,4.0,0.6,0.8,0.6,1.1,3.0,0.3,0.3,0.7,4.0,10.5,22.0,PG,,['PG']
Carsen Edwards,1.5,3.6,0.4,0.4,0.6,0.8,0.5,0.2,0.0,0.2,4.0,8.9,31.0,SG,,['SG']
Udonis Haslem,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,C,,['C']
Cody Martin,1.6,3.6,0.5,0.8,0.3,3.1,1.7,0.7,0.2,0.8,4.0,16.3,52.0,SF,,['SF']
Brodric Thomas,1.2,3.4,1.0,1.4,0.5,1.7,0.9,0.5,0.3,0.7,3.9,12.5,32.0,SG,,['SG']
Brodric Thomas,0.5,1.8,1.3,1.8,0.3,1.0,1.0,0.3,0.3,1.0,2.5,6.0,4.0,SG,,['SG']
Brodric Thomas,1.3,3.6,0.9,1.4,0.5,1.8,0.9,0.5,0.3,0.6,4.1,13.4,28.0,SG,,['SG']
Justin James,1.4,3.1,0.6,1.0,0.4,0.8,0.6,0.2,0.1,0.4,3.9,8.6,36.0,SF,,['SF']
Kevin Knox,1.3,3.4,0.4,0.5,0.8,1.5,0.5,0.3,0.1,0.4,3.9,11.0,42.0,SF,,['SF']
Matisse Thybulle,1.6,3.7,0.1,0.3,0.7,1.9,1.0,1.6,1.1,0.5,3.9,20.0,65.0,SG,,['SG']
Dante Exum,1.7,4.3,0.2,0.3,0.3,2.8,2.2,0.7,0.3,1.2,3.8,19.3,6.0,SG,,['SG']
Ersan Ä°lyasova,1.2,3.2,0.3,0.3,1.1,1.7,0.2,0.6,0.2,0.5,3.8,8.7,17.0,PF,,['PF']
Nathan Knight,1.1,3.0,1.3,1.7,0.2,2.2,0.2,0.3,0.3,0.5,3.8,8.5,33.0,PF,,['PF']
Thon Maker,1.3,2.3,1.3,1.4,0.0,2.3,0.5,0.3,0.5,0.4,3.8,9.5,8.0,C,,['C']
Skylar Mays,1.3,3.0,0.7,0.8,0.4,1.1,0.9,0.4,0.1,0.3,3.8,8.2,33.0,SG,,['SG']
Tremont Waters,1.3,3.2,0.6,0.7,0.6,0.8,2.4,0.6,0.0,1.0,3.8,9.2,26.0,PG,,['PG']
P.J. Tucker,1.3,3.4,0.4,0.5,0.8,3.9,1.2,0.8,0.4,0.8,3.7,26.1,52.0,PF,,['PF']
P.J. Tucker,1.5,4.1,0.6,0.7,0.8,4.6,1.4,0.9,0.6,1.0,4.4,30.0,32.0,PF,,['PF']
P.J. Tucker,0.9,2.3,0.2,0.3,0.7,2.8,0.8,0.5,0.1,0.4,2.6,19.9,20.0,PF,,['PF']
Isaiah Joe,1.2,3.2,0.4,0.6,1.0,0.9,0.5,0.3,0.1,0.3,3.7,9.3,41.0,SG,,['SG']
Luka Å amaniÄ,1.4,3.2,0.5,0.9,0.4,2.1,0.5,0.2,0.2,0.6,3.7,9.3,33.0,PF,,['PF']
Javonte Green,1.3,2.5,0.7,1.0,0.2,1.7,0.4,0.7,0.1,0.5,3.6,11.5,41.0,SF,,['SF']
Javonte Green,1.6,2.8,0.8,1.2,0.3,2.1,0.4,0.7,0.1,0.5,4.2,13.8,25.0,SF,,['SF']
Javonte Green,0.9,1.9,0.6,0.6,0.2,1.2,0.4,0.6,0.3,0.4,2.6,8.0,16.0,SG,,['SG']
Luke Kornet,1.4,3.3,0.1,0.2,0.5,2.2,0.8,0.1,1.0,0.2,3.4,11.2,31.0,C,,['C']
Luke Kornet,0.7,2.1,0.2,0.3,0.5,1.2,0.3,0.2,0.5,0.1,2.0,7.2,13.0,C,,['C']
Luke Kornet,1.9,4.1,0.1,0.1,0.5,2.9,1.1,0.1,1.4,0.3,4.4,14.1,18.0,C,,['C']
