Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,PosList
Jae Crowder,3.3,8.2,1.0,1.3,2.5,4.7,2.1,0.8,0.5,0.9,10.1,27.5,60.0,PF,,['PF']
Jeremy Lamb,3.3,7.7,2.0,2.1,1.4,3.6,1.5,0.9,0.6,0.6,10.1,21.3,36.0,SG,,['SG']
Th̩o Maledon,3.5,9.4,1.6,2.1,1.6,3.2,3.5,0.9,0.2,2.2,10.1,27.4,65.0,PG,,['PG']
Elfrid Payton,4.3,9.9,1.2,1.7,0.4,3.4,3.2,0.7,0.1,1.6,10.1,23.6,63.0,PG,,['PG']
Bryn Forbes,3.6,7.6,0.7,0.9,2.2,1.6,0.6,0.3,0.0,0.6,10.0,19.3,70.0,SG,,['SG']
Gary Harris,3.5,8.8,1.6,2.0,1.2,2.0,2.0,0.7,0.3,0.9,9.9,27.7,39.0,SG,,['SG']
Gary Harris,3.6,8.2,1.2,1.6,1.3,2.5,1.7,0.9,0.2,0.7,9.7,30.6,19.0,SG,,['SG']
Gary Harris,3.5,9.5,2.1,2.4,1.2,1.6,2.3,0.6,0.4,1.2,10.2,25.0,20.0,SG,,['SG']
Dorian Finney-Smith,3.7,7.8,0.5,0.7,2.0,5.4,1.7,0.9,0.4,0.8,9.8,32.0,60.0,PF,,['PF']
Frank Jackson,3.4,7.3,1.5,1.9,1.5,2.2,0.9,0.4,0.0,0.9,9.8,18.5,40.0,PG,,['PG']
Otto Porter Jr.,3.5,8.1,1.3,1.5,1.4,5.4,2.0,0.6,0.1,0.9,9.7,21.6,28.0,SF,,['SF']
Otto Porter Jr.,3.6,8.1,1.2,1.5,1.5,5.5,2.0,0.5,0.2,1.0,9.9,21.6,25.0,SF,,['SF']
Otto Porter Jr.,3.0,8.3,1.7,1.7,0.3,4.7,1.7,1.3,0.0,0.0,8.0,22.0,3.0,PF,,['PF']
